序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置
1093,臺南市新化區,武安里,公園路110號,120.306700,23.029500,臺南市新化區體育公園,地震優先開設不分里,1000,震災,藍榮為,06-5905009,否,是,是
1094,臺南市安南區,安順里,安和路三段227號,120.212600,23.031300,臺南市安南區安順國中-順中館,安西里、新順里,1900,"水災,震災",鄭誌忠,06-3559652#140,是,是,是
1095,臺東縣東河鄉,北源村,美蘭19鄰43-1號,121.286649,23.031352,北源活動中心村辦公處,北源村,100,"水災,土石流,海嘯",江清霖,089-891588宅089-891173村辦公處,否,否,否
1096,臺南市永康區,龍潭里,龍國街400號,120.266700,23.031400,臺南市永康區龍潭里活動中心,龍潭里、烏竹里、蔦松里、周邊居民,159,"水災,土石流,海嘯",陳舒奕,06-2012626,是,否,是
1097,高雄市六龜區,新發里,和平路130號,120.662467,23.031783,高雄市六龜區新發國民小學,新發里,354,"水災,土石流",畢家偉,6791387#40,否,否,否
1098,高雄市六龜區,新發里,和平路115之1號,120.663300,23.032000,新發社區活動中心,新發里第一開設順位,100,"水災,震災,土石流,海嘯",新發,6791413、0963114332,是,否,是
1099,臺南市安南區,安西里,安西路101號,120.208978,23.032486,臺南市安南區安西里活動中心,安西里,310,水災,劉昆河,06-2475999,是,否,是
1100,臺南市新化區,豐榮里,洋子127號,120.295900,23.033400,臺南市新化區保生大帝廟,視地震需要開設，不分里,150,震災,林志聰,06-5987996,否,是,是
1101,臺南市安南區,安東里,安和路一段478巷2弄120號,120.214219,23.033564,臺南市安南區安東里活動中心,安東里,385,水災,吳金城,06-2462476,是,否,是
1102,高雄市杉林區,木梓里,茄苳巷160號,120.534542,23.033981,慈霖園原木梓國小,木梓里,200,"水災,震災,土石流,海嘯",李美鳳,07-6779232,是,否,是
1103,臺南市安南區,理想里,大安街135號,120.193100,23.034000,臺南市安南區理想大安社區活動中心,理想里、大安里,281,水災,吳朝安,06-2456979,是,否,是
1104,臺東縣關山鎮,豐泉里,忠孝路18巷2號1樓,121.168200,23.035200,關山鎮老人文康活動中心,豐泉里里里,100,"水災,震災",會長 張,0963-002822,是,是,否
1105,臺南市安南區,田里,安路28號,120.141100,23.036700,臺南市安南區田里活動中心,田里,287,"水災,震災",王正德,06-3841797,是,是,是
1106,臺南市新化區,唪口里,太平街176 號,120.299100,23.037900,臺南市新化區大新國小大禮堂,視需要開設不分里,150,震災,林月珍總,06-5982953#705,是,否,是
1107,臺南市新化區,護國里,中興路722號,120.307600,23.037900,臺南市新化區新化國中大禮堂,視需要開設不分里,500,水災,楊長春總,06-5902269,是,否,是
1108,臺南市新化區,護國里,建國街40號,120.309300,23.038000,臺南市新化區新化果菜市場停車場,視地震需要開設，不分里,150,震災,林勝仁總,06-5905908,否,是,是
1109,臺南市安南區,海西里,海環街186號,120.184320,23.038021,臺南市安南區海西里活動中心,海西里,202,水災,吳欽郎,06-2569119,是,否,是
1110,臺南市新化區,護國里,中山路130號,120.310800,23.038200,臺南市新化區公所3樓展演廳,優先開設不分里,100,水災,鄭諠,06-5905009,是,否,是
1111,臺南市新化區,協興里,中山路173號,120.311000,23.038300,臺南市新化區新化國小大禮堂,視需要開設不分里,200,水災,黃春雄總,06-5901810#704,是,否,是
1112,臺南市新化區,東榮里,信義路52號,120.319300,23.038600,臺南大學附屬啟聰學校活動中心,視需要時開設不分里,100,水災,蔡文卿總,06-5903355#511,是,否,是
1113,臺南市新化區,太平里,忠孝路2號,120.332600,23.039100,臺南市新化區新化高中新民館,視需要時開設不分里,1000,水災,黃昆銘庶,06-5982065#4002,是,否,是
1114,臺東縣關山鎮,里里,崁頂46之1號,121.161000,23.039200,里活動中心,里里,100,"水災,震災",潘顯堂,89811229,是,是,否
1115,臺南市安南區,安慶里,長溪路一段168巷133號,120.210100,23.039700,臺南市安南區安慶里活動中心,安慶里、頂安里,413,水災,蕭振隆,06-2559812,是,否,是
1116,臺東縣東河鄉,北源村,順那21號,121.292706,23.039731,北源國小,北源村,111,"水災,土石流,海嘯",黃正吉總,089-891103公,否,否,否
1117,臺南市永康區,埔園里,永大路三段618巷111號,120.252374,23.040107,臺南市永康區埔園里活動中心,埔園里、周邊居民,147,"水災,震災",王宗敏,06-2325631,是,否,是
1118,臺南市永康區,行里,正南八街1號,120.239500,23.040200,臺南市永康區鹽行文化會館,鹽行里、鹽洲里、三民里、周邊居民,167,水災,盧文良,06-2531977,是,否,是
1119,臺南市新化區,唪口里,唪口142號之26,120.290100,23.040700,臺南市新化區唪口順天宮,視地震需要開設，不分里,200,震災,高對管理,06-5987872,否,是,是
1120,臺南市安南區,梅花里,安中路一段703巷80號,120.192929,23.040741,臺南市安南區安慶國民小學,安和里、溪頂里、溪東里,1600,"水災,震災",黃俊傑,06-2460334,是,是,是
1121,臺南市安南區,顯宮里,媽祖宮一街136號,120.109910,23.041560,臺南市安南區鹿耳門天后宮-公館,鹿耳里,500,"水災,震災",林玉山,06-2841386,是,是,是
1122,臺東縣池上鄉,振興村,6鄰36號,121.195100,23.042600,臺東縣池上鄉萬安國民小學振興分校,振興村,100,"水災,震災,土石流",邱強義,089-951068,是,是,否
1123,臺南市南化區,南化里,南化172-1號,120.477600,23.043100,臺南市南化區老人文康中心,南化里,160,"水災,震災",黃玲玉,06-5771513,是,是,是
1124,高雄市甲仙區,寶隆里,光華路1號,120.550000,23.044600,靈隱寺備用,全區,200,"水災,土石流",住持王老,07-6752123,是,否,是
1125,臺南市永康區,洲里,鹽行路100巷40弄16號,120.233800,23.044800,臺南市永康區鹽洲里活動中心,鹽洲里、三民里、周邊居民,294,,毛三寶,06-2532090,是,否,否
1126,臺南市永康區,烏竹里,烏竹北街85號,120.263300,23.044900,臺南市永康區烏竹里活動中心,烏竹里、蔦松里、周邊居民,109,,陳壬子,06-2326561,是,否,否
1127,臺南市安南區,顯宮里,媽祖宮五街10號,120.127812,23.045997,臺南市安南區媽祖宮社區活動中心,顯宮里,393,水災,林進成,06-2841343,是,否,是
1128,臺東縣關山鎮,新福里,溪埔34之1號,121.172200,23.046100,新福活動中心,新福里,50,"水災,震災",白光輝,89811777,是,是,否
1129,臺南市安南區,海東里,安中路二段308號,120.184800,23.047200,臺南市安南區公所,溪心里,80,水災,顏昇祺,06-2567126,是,是,是
1130,臺東縣關山鎮,中福里,中華路68號2樓,121.163600,23.049100,中福活動中心,中福里,100,"水災,震災",黃昭仁,89811579,是,否,否
1131,臺南市安南區,海東里,安中路三段381號,120.174766,23.049279,臺南市安南區海東國民小學,淵中里、淵西里、海東里,1200,"水災,震災",劉珍琳,06-2567146,是,是,是
1132,高雄市甲仙區,寶隆里,光華路20號,120.555507,23.049345,高雄市甲仙區寶隆國民小學（備用）,寶隆里,150,,梁一成、,675299810、675299831,是,否,是
1133,臺南市安南區,淵西里,安中路三段252號,120.177300,23.049600,臺南市安南區安南國中-禮堂,溪心里、淵東里,1750,"水災,震災",郭憲璋,06-2567384,是,是,是
1134,臺東縣成功鎮,信義里,豐田路90號,121.338751,23.050198,豐田活動中心 Fong-Tian Community Center,信義里,20,"水災,土石流",林坤壇,089-85100437,否,否,否
1135,臺南市安南區,原佃里,本原街一段167巷36弄46號,120.197100,23.050500,臺南市安南區原佃里活動中心,原佃里,284,水災,林世民,06-2476967,是,否,是
1136,臺東縣關山鎮,豐泉里,中華路101號,121.163400,23.050600,關山鎮關山國民小學,豐泉里里里,500,"水災,震災",事務,89811012,是,是,是
1137,高雄市甲仙區,寶隆里,嶺頂巷65號,120.564200,23.050700,元宋太祖宮,西安里/大田/寶隆優先開設，不足時開大田老人活動中心,50,"水災,土石流",管理人蔡,07-6752559,是,否,是
1138,臺南市永康區,王行里,王行路866巷29弄118號,120.277800,23.051100,臺南市永康區王行里活動中心,王行里、周邊居民,104,水災,陳丁為,06-2044559,是,否,是
1139,臺東縣關山鎮,豐泉里,忠孝路18巷2號2樓,121.153600,23.053300,豐泉活動中心,豐泉里里里,50,"水災,震災",黃綱榮,89811858,是,是,否
1140,臺東縣關山鎮,德高里,7鄰永豐16號,121.153600,23.053300,關山鎮德高國民小學,德高里,200,"水災,震災,土石流",總務,089-931149,是,是,是
1141,臺南市安南區,梅花里,安中路一段557巷25號,120.169900,23.053880,臺南市安南區梅花里活動中心,梅花里、鳳凰里,164,水災,蔡和豐,06-2550389,是,否,是
1142,臺南市南化區,中坑里,中坑38-6號,120.471500,23.053900,臺南市南化區中坑里活動中心,中坑里、北平里,80,"水災,震災",余玉糸,06-5775023,是,是,是
1143,高雄市桃源區,寶山里,二集團98號,120.722100,23.055400,高雄市桃源區寶山國民小學,寶山里,250,"水災,海嘯",陳林彩秀,07-6894007/0977406671,是,否,是
1144,高雄市桃源區,寶山里,寶山里98 號,120.721590,23.055409,高雄市桃源區寶山國民小學,寶山里,150,"水災,震災",顏裕華,07-6861132,是,否,否
1145,臺南市左鎮區,中正里,170號,120.410600,23.056200,臺南市左鎮區左鎮國中,中正里、睦光里、內庄里,230,"水災,震災",蔡宜興,06-5731015,是,是,是
1146,臺南市左鎮區,中正里,171-4號,120.408700,23.056500,臺南市左鎮區公所,全區,40,"水災,震災",劉廣尉,06-3036518,是,否,是
1147,臺南市安南區,城西里,城西街三段431號,120.095600,23.057000,臺南市安南區城西里活動中心,城西里,291,"水災,海嘯",嚴文正,06-2577688,是,否,是
1148,臺南市左鎮區,中正里,15-4號,120.406100,23.057700,臺南市左鎮區老人活動中心,中正里、左鎮里,40,水災,郭淑櫻,06-5731611,是,否,是
1149,臺南市安南區,城南里,城西街一段61巷28弄98號,120.127200,23.060600,臺南市安南區城南里活動中心,城南里,220,水災,蔡炳輝,06-2574626,是,否,是
1150,臺南市安南區,東和里,長和路一段805號,120.228700,23.062000,臺南市安南區東和里活動中心,東和里,73,水災,莊福清,06-3566551,是,否,是
1151,臺南市安南區,布袋里,長和路四段231巷60弄41號,120.207100,23.063200,臺南市安南區布袋里活動中心,布袋里,223,水災,姜吉成,06-2471685,是,否,是
1152,臺南市安南區,佃西里,海佃路4段493號,120.173444,23.064001,臺南市安南區安佃國民小學,本區各里,150,"水災,震災",陳美惠,06-2567642,否,是,是
1153,臺南市新化區,羊林里,那拔林500號,120.348200,23.064600,臺南市新化區接天寺,視需要時開設不分里,400,"水災,震災",鍾明華會,06-5911764,是,否,是
1154,臺南市左鎮區,榮和里,60-7號,120.388700,23.064600,臺南市左鎮區榮和里活動中心,榮和里,30,水災,邱國輝,06-5732282,是,否,是
1155,臺南市安南區,長安里,長溪路三段249號,120.197829,23.065467,臺南市安南區長安國民小學,長安里、公親里、總頭里,1250,"水災,震災",鄭國斌,06-3365595,是,是,是
1156,臺南市安南區,州北里,安和路5段84巷66號,120.220800,23.065840,臺南市安南區和順國民中學,本區各里,1179,"水災,震災",林明正,06-3551440,是,是,否
1157,臺南市安南區,佃西里,公學路四段325號,120.174300,23.066100,臺南市安南區佃東佃西社區活動中心,佃東里、佃西里,169,水災,高進見,06-2872962,是,否,是
1158,臺南市安南區,城東里,城北路195號,120.131192,23.066375,臺南市安南區土城國民小學,本區各里,1498,"水災,震災",張世昌,06-2577645,否,否,否
1159,臺南市安南區,城中里,城安路160號,120.127300,23.066800,臺南市安南區正統鹿耳門土城聖母廟,城北里、城中里,800,"水災,震災",王明義,06-2577547,是,是,是
1160,臺南市安南區,州北里,安和路五段178巷5號,120.218204,23.066821,臺南市安南區和順國民小學,州南里,1180,"水災,震災",柯禧慧,06-3560691,是,是,是
1161,臺南市安南區,城東里,城安路73號,120.127576,23.066898,臺南市安南區城東里活動中心,城東里,285,"水災,震災",郭峻民,06-2572101,是,是,是
1162,臺南市南化區,玉山里,玉山132-3號,120.515300,23.067600,臺南市南化區茅埔活動中心,玉山里,100,"水災,震災,土石流",邱永霖,06-5772128,是,是,是
1163,臺南市新化區,[上廿下那]拔里,那拔54號,120.349700,23.067700,臺南市新化區那拔國小操場,新化區,300,震災,李世賢總,06-5911591,否,是,是
1164,臺南市安南區,[土]南里,安昌街22號,120.217400,23.068200,臺南市安南區州北里活動中心,州北里,325,水災,謝加榮,06-3559953,是,否,是
1165,臺南市安南區,[土]南里,安昌街130號,120.219603,23.071146,臺南市安南區塭南里活動中心,塭南里,335,水災,林同寶,06-3560368,是,否,是
1166,高雄市六龜區,荖濃里,南橫路97號,120.673772,23.073100,荖濃社區活動中心,荖濃里第1開設順位,100,"水災,震災,土石流",荖濃,07-6882527,是,否,是
1167,臺南市安南區,南興里,公學路五段627號,120.160816,23.073940,臺南市安南區南興國民小學,南興里、公塭里,1090,"水災,震災",潘秀妲,06-2870077,是,是,是
1168,臺東縣關山鎮,德高里,8鄰永豐105之1號,121.177600,23.074800,德高活動中心,德高里,100,"水災,震災,土石流",莊贄平,89931111,是,是,否
1169,臺南市新市區,新和里,忠孝街189號,120.294500,23.075100,臺南市新市區文康育樂中心,永就里、新和里,290,"水災,震災",謝雪蓮,06-5898318,是,否,是
1170,臺南市南化區,玉山里,玉山65號,120.520100,23.075700,臺南市南化區玉山里活動中心,玉山里,90,"水災,震災,土石流",邱永霖,06-5772128,是,是,是
1171,臺南市安南區,青草里,青砂街二段371巷2號,120.112012,23.075980,臺南市安南區青草里活動中心,青草里,278,水災,魏武雄,06-2571178,是,否,是
1172,臺南市新市區,社內里,社內91-22號,120.281600,23.076600,臺南市新市區老人文康活動中心,社內里、大洲里,410,水災,李秋虹,06-5994711#138,是,否,是
1173,臺南市安南區,青草里,青砂街二段105巷32號,120.117215,23.076717,臺南市安南區青草國民小學,本區各里,725,"水災,震災",耿育文,06-2577631,是,是,是
1174,臺南市山上區,豐德里,豐德49-2號,120.359600,23.077400,臺南市山上區豐德里活動中心,豐德里,50,水災,林美瑜,06-5781801#21,是,否,是
1175,臺南市南化區,北寮里,北寮3號,120.491500,23.077400,臺南市南化區北寮里活動中心,北寮里、小崙里,110,"水災,震災",林金蒼,06-5772237,是,是,是
1176,高雄市甲仙區,大田里,新興路49-1號,120.582300,23.078000,大田老人活動中心（備用）,大田里,100,,林秀美、,921233279,是,否,是
1177,臺南市安南區,學東里,公學路6段589號,120.145483,23.078190,臺南市安南區學東國民小學,本區各里,600,"水災,震災",鄭勝男,06-2870017,否,是,是
1178,臺南市新市區,新市里,中興街12號,120.295200,23.078700,臺南市新市區公所三樓大禮堂,新市里,100,"水災,震災",盧家倫,06-5994711#280,是,否,是
1179,臺南市新市區,新市里,中興街1號,120.295800,23.078700,臺南市新市區新市國小學生活動中心,三舍里、豐華里,300,水災,蘇首銘,06-5992895#831,是,否,是
1180,臺南市安南區,學東里,公學路六段661號,120.143100,23.079300,臺南市安南區學東里活動中心,學東里,276,"水災,震災",黃南忠,06-2872927,是,是,是
1181,臺南市安南區,砂崙里,城北路871巷94弄17號,120.127523,23.079511,臺南市安南區砂崙里活動中心,砂崙里,250,"水災,震災",陳清海,06-2573077,是,是,是
1182,臺南市安定區,六嘉里,六嘉30號,120.219000,23.079800,臺南市安定區南興國小,臨時備用場所,100,水災,郭茂松,06-5931038,是,否,是
1183,臺南市安定區,六嘉里,六嘉30號,120.219000,23.079800,臺南市安定區南興國小,臨時備用場所,150,水災,郭茂松,06-5931038,是,否,是
1184,高雄市甲仙區,東安里,文化南路6號,120.592022,23.080974,高雄市立甲仙國民中學（備用）,東安里,270,水災,鍾文杰、,675101810、675101840,是,否,是
1185,臺東縣池上鄉,富興村,4鄰62之1號,121.221200,23.081300,富興村辦公處,富興村,100,"水災,震災,土石流",羅菊妹,089-862951,是,是,否
1186,高雄市甲仙區,西安里,文化路45號,120.588891,23.081444,高雄市甲仙區甲仙國民小學備用,西安里,521,"水災,震災,土石流",陳姚如、,6751025111、6751025140,否,否,否
1187,臺南市新市區,港墘里,民族路76號,120.300500,23.083400,臺南市新市區新市國中育樂堂,大營里、港墘里,500,水災,陳盈秀,06-5991420#6001,是,否,是
1188,臺南市新市區,港墘里,民族路76號,120.300500,23.083400,臺南市新市區新市國中操場,視災情因應調整,2000,震災,陳盈秀,06-5991420#6001,否,是,是
1189,臺南市安定區,大同里,大同81號,120.223100,23.083900,臺南市安定區大同社區活動中心,大同里、六嘉里、港南里、中沙里。,100,水災,陳柏宏,06-5921116,是,否,是
1190,高雄市甲仙區,和安里,中山路56號,120.587500,23.084000,甲仙和安社區活動中心備用,和安里,80,,李新福、,937645339,是,否,是
1191,臺南市西港區,新復里,溪埔寮19-9號,120.184578,23.085261,臺南市西港區新復里活動中心,新復里,270,"水災,震災",黃國文,06-7957668,是,是,是
1192,高雄市甲仙區,東安里,油礦巷3號,120.601000,23.085500,龍鳳寺,西安/東安/和安/關山/小林,500,"水災,土石流",康苗杰,07-6751033,是,否,是
1193,臺南市新市區,大社里,大社39號,120.319100,23.086300,臺南市新市區大社國小育賢三樓〈學生活動中心）,大社里、潭頂里,300,水災,宋政賢,06-5991593#805,是,否,是
1194,臺南市山上區,平陽里,平陽48號,120.380700,23.086800,臺南市山上區平陽里活動中心,平陽里,50,水災,林美瑜,06-5781801#21,是,否,是
1195,臺東縣成功鎮,忠仁里,麒麟路45-12號,121.356735,23.092456,麒麟活動中心 Chi-Lin Community Center,忠仁里,30,"水災,土石流",張淑娟,089-85100433,否,否,否
1196,臺南市安定區,港口里,港口333-22號,120.219600,23.092800,臺南市安定區複合式運動場四周及南安小操場,除蘇林里、蘇厝里、安定里、安加里、保西里外之11里震災避難場所,300,震災,陳茂林,06-5921116,否,是,是
1197,臺南市安定區,港口里,港口333-22號,120.219600,23.092800,臺南市安定區複合式運動場四周及南安小操場,除蘇林里、蘇厝里、安定里、安加里、保西里外之11里震災避難場所,800,震災,陳茂林,06-5921116,否,是,是
1198,臺南市七股區,十份里,十份24-28號,120.105500,23.094200,臺南市七股區十份里漁民活動中心,十份里,94,"水災,震災",張水金,06-7880746,是,否,是
1199,臺東縣池上鄉,萬安村,1鄰萬安7號,121.218500,23.094800,萬安村辦公處,萬安村,100,"水災,震災,土石流",魏榮增,089-861743,是,是,是
1200,臺南市七股區,永吉里,永吉16-8號,120.128800,23.095400,臺南市七股區永吉里多功能活動中心,永吉里,37,"水災,震災",莊弘松,06-7880024,是,否,是
1201,臺南市安定區,海寮里,海寮15之3號,120.211200,23.096500,臺南市安定區海寮社區活動中心,海寮里、港口里、新吉里。,200,水災,陳柏宏,06-5921116,是,否,是
1202,臺南市安定區,南安里,南安62號,120.225000,23.098400,臺南市安定區南安國小,臨時備用場所,100,"水災,震災",曹麗優,06-5922023,是,否,是
1203,臺南市山上區,新莊里,大庄32號,120.363700,23.098700,臺南市山上區新莊里大庄活動中心,新莊里,50,水災,林美瑜,06-5781801#21,是,否,是
1204,臺東縣池上鄉,錦園村,1鄰新開園2號,121.220300,23.098800,錦園村辦公處,錦園村,100,"水災,震災,土石流",李文源,089-862370,是,是,是
1205,臺南市七股區,三股里,三股39號,120.118200,23.099300,臺南市七股區三股社區活動中心,三股里,61,"水災,震災",黃仙立,06-7880745,是,否,是
1206,臺東縣海端鄉,海端村,3鄰山界17-3號,121.176700,23.100134,海端鄉立托兒所Haiduan Nursery School,海端村、崁頂村、加拿村、廣原村,80,"水災,震災,土石流,海嘯",史慧玲,089-931466,是,否,是
1207,臺南市山上區,南洲里,南洲43號,120.355700,23.100800,臺南市山上區國民小學,全區,1000,"水災,震災",方聰安,06-5781203,是,是,是
1208,臺南市山上區,南洲里,南洲197號,120.353600,23.101100,臺南市山上區南洲里農民教育活動中心,南洲里,150,水災,林美瑜,06-5781801#21,是,否,是
1209,臺南市七股區,義合里,義合72之2號,120.138200,23.101300,臺南市七股區義合里多功能活動中心,義合里,136,"水災,震災",黃文乾,06-7891113,是,否,是
1210,臺東縣海端鄉,海端村,4鄰山界36號,121.176180,23.101457,海端國小Haiduan Elementary School,海端村、崁頂村、加拿村、廣原村,100,"水災,震災,土石流,海嘯",廖坤峰,089-931184,是,否,是
1211,臺東縣成功鎮,忠智里,中正路1號,121.376599,23.101696,"成功鎮新港國民中學 Hsin-kang Junior High School, Chenggon Township",忠智里,250,震災,鄭瑞銀,089-851034,否,否,否
1212,臺南市山上區,山上里,山上134-1號,120.357700,23.101700,臺南市山上區山上里農民教育活動中心,山上里,150,水災,林美瑜,06-5781801#21,是,否,是
1213,臺南市山上區,玉井里,玉35號,120.389100,23.101700,臺南市山上區玉井里活動中心,玉井里,50,水災,林美瑜,06-5781801#21,是,否,是
1214,臺東縣海端鄉,海端村,4鄰山界路43號,121.176620,23.102070,海端鄉公所Haiduan Township Office,海端村、崁頂村、加拿村、廣原村,50,"水災,震災,土石流,海嘯",蔡孝宏,089-931307,是,否,否
1215,臺南市七股區,三股里,三股100號,120.116949,23.102173,臺南市七股區三股國小操場,三股里,100,震災,陳易志,06-7880744,否,是,是
1216,臺東縣成功鎮,三民里,三民路20號,121.371943,23.102210,三民里活動中心 San-Min Community Center,三民里,20,,陳鼎欣,089-85100432,否,否,否
1217,臺南市七股區,竹橋里,竹橋33-1號,120.163700,23.102900,臺南市七股區竹橋里多功能活動中心,竹橋里,134,"水災,震災,海嘯",張靜堯,06-7891110,是,否,是
1218,臺南市山上區,山上里,山上130號,120.358400,23.103000,臺南市山上區山上國民中學,全區,1000,"水災,震災",劉育志,06-5781023#11,是,是,是
1219,臺南市安定區,南安里,南安1號,120.227400,23.103300,臺南市安定區南安社區活動中心,南安里、管寮里,50,水災,陳柏宏,06-5921116,是,否,是
1220,臺南市安定區,港尾里,港尾74-11號,120.233800,23.103800,臺南市安定區港尾社區活動中心,港尾里、中榮里。,50,水災,陳柏宏,06-5921116,是,否,是
1221,臺南市西港區,竹林里,竹林11號,120.179400,23.104200,臺南市西港區成功國小,竹林里、劉厝里、永樂里、新復里,850,"水災,震災",徐育仁,06-7952204#2820,是,是,是
1222,臺南市七股區,三股里,三股147號,120.123100,23.104300,行政院國軍退除役官兵輔導委員會佳里榮譽國民之家,三股里,21,"水災,震災",史台龍,06-7880664,是,否,是
1223,臺東縣成功鎮,三民里,三民路111號,121.374961,23.104389,三民里第2市場 San-Min Second Market,三民里,50,,陳鼎欣,089-85100432,否,否,否
1224,臺東縣成功鎮,忠智里,太平路52號,121.381984,23.104484,國立成功商業水產職業學校,忠智里,200,震災,蔡吉郎,089-850011,否,否,否
1225,臺東縣成功鎮,忠智里,五權路164號,121.380248,23.104757,忠智里活動中心 Jhong-Jhi Community Center,忠智里,30,,李明穎,089-85100434,否,否,否
1226,高雄市桃源區,建山里,建山里96號,120.682598,23.105377,高雄市桃源區建山國民小學,建山里,68,"水災,震災",顏裕華,07-6861132,是,否,否
1227,臺南市玉井區,望明里,望明76號,120.456200,23.105800,臺南市玉井區望明里活動中心,望明里,70,水災,李麗華,06-5742458,是,否,否
1228,臺東縣池上鄉,新興村,4鄰48之1號,121.206900,23.106600,新興村辦公處,新興村,100,"水災,震災,土石流",許金興,089-863398,是,是,否
1229,高雄市桃源區,建山里,建山巷86號,120.684000,23.106700,建山社區活動中心,建山里,120,"水災,海嘯",金阿美/,0938317097/0919397714,是,否,是
1230,臺南市山上區,明和里,明和98號,120.348100,23.107800,臺南市山上區明和里活動中心,明和里,150,水災,林美瑜,06-5781801#21,是,否,是
1231,臺南市西港區,南海里,中港24號,120.193700,23.107900,臺南市西港區廣興宮,南海里,140,"水災,震災",黃光暉,06-7951656,是,是,是
1232,高雄市六龜區,寶來里,中正路89號,120.700890,23.108810,寶來社區活動中心,寶來里,100,"水災,震災,土石流",寶來,07-6881125,是,否,是
1233,高雄市六龜區,寶來里,中正路89號,120.700921,23.108831,高雄市六龜區寶來國民小學,寶來里,257,"水災,土石流",魏滋鋒,6881009#40,否,否,否
1234,高雄市六龜區,寶來里,中正路137號,120.703635,23.109359,高雄市立寶來國民中學,寶來里,244,"水災,震災,土石流",陳嘉玲,6881258#31,否,否,否
1235,臺南市七股區,樹林里,樹林65-11號,120.156033,23.110999,臺南市七股區樹林國小操場,樹林里,100,震災,李貞慧,06-7891031,否,是,是
1236,臺南市玉井區,沙田里,沙田33-3號,120.479100,23.111800,臺南市玉井區沙田里活動中心,沙田里,60,水災,邱文化,06-5742362,是,否,否
1237,高雄市甲仙區,關山里,中興路17號,120.605400,23.112600,關山社區活動中心,關山里,80,,劉國寶、,932971316,是,否,是
1238,臺南市七股區,樹林里,樹林5-8號,120.157200,23.113900,臺南市七股區樹林社區活動中心,樹林里,138,"水災,震災",黃寶田,06-7891009,是,否,是
1239,臺南市安定區,安加里,安加262-1號,120.234000,23.114000,臺南市安定區安定國中操場,安加里、保西里,500,震災,陳慧如,06-5922003,否,是,是
1240,臺南市七股區,竹港里,竹港52-19號,120.174800,23.114200,臺南市七股區竹港社區活動中心,竹港里,74,"水災,震災",郭仲義,06-7891040,是,否,是
1241,臺南市安定區,安加里,安加262之8號,120.234300,23.114500,臺南市安定區圖書館,港尾里、蘇林里、蘇厝里,150,水災,陳茂林,06-5921116,是,否,否
1242,臺東縣池上鄉,新興村,7鄰新興88號,121.204970,23.115321,臺東縣立池上國民中學,本鄉各村,300,"水災,震災,土石流",王淑冠,089-862040,是,是,否
1243,臺東縣池上鄉,萬安村,1鄰5號之2,121.189600,23.117200,臺東縣池上鄉萬安國民小學,萬安村、振興村、富興村、錦園村,90,"水災,震災,土石流",鍾明宏,089-862371,是,是,是
1244,臺南市大內區,曲溪里,曲溪51-2號,120.387400,23.118100,臺南市大內區曲溪社區活動中心,曲溪里,15,"水災,震災",楊春寶,06-5765072,是,是,是
1245,臺南市安定區,安加里,安加243-5號旁,120.238150,23.118189,臺南市安定區體育運動公園（防災公園）,全區,600,震災,陳茂林,06-5921116#151,否,是,是
1246,臺南市安定區,安加里,安加243-5號旁,120.238150,23.118189,臺南市安定區體育運動公園（防災公園）,全區,1000,震災,陳茂林,06-5921116#151,否,是,是
1247,臺南市大內區,大內里,大內63號,120.361300,23.118600,臺南市大內區大內國小,大內里、內江里、內郭里、石城里、石林里、石湖里,230,"水災,震災",呂麗蓉,928619583,是,是,是
1248,臺南市西港區,營西里,後營1-2號,120.195800,23.118800,臺南市西港區老人文康活動中心,營西里、後營里、檨林里,340,"水災,震災",謝淑麗,06-7961482,是,是,是
1249,臺南市安定區,安加里,安加262-1號,120.238100,23.119600,臺南市安定區安定國中,臨時備用場所,100,"水災,震災",陳慧如,06-5922003,是,否,是
1250,臺南市安定區,安定里,安定131之1號,120.237200,23.119800,臺南市安定區老人文康活動中心,安定里、安加里、保西里,50,水災,陳柏宏,06-5921116,是,否,是
1251,臺東縣池上鄉,大埔村,大埔14號,121.215000,23.120900,大埔村辦公處,大埔村,100,"水災,土石流",鍾健考,89862893,是,否,否
1252,臺南市玉井區,玉井里,中正路1號,120.458800,23.121000,臺南市玉井區玉井國小,玉井里,450,"水災,震災",江隆安,06-5742047,是,是,否
1253,臺南市西港區,慶安里,新興街107巷32號,120.180500,23.121100,臺南市西港區慶安社區活動中心,慶安里、西港里,730,"水災,震災",吳明欽,06-7952196,是,是,是
1254,臺南市西港區,港東里,烏竹林58-5號,120.201900,23.121100,臺南市西港區港東里活動中心,港東里,240,"水災,震災",方郭秀雲,06-7953001,是,是,是
1255,臺南市安定區,安定里,安定59號,120.237200,23.121300,臺南市安定區公所,全區,50,水災,林櫻芳,06-5921116,是,否,否
1256,臺南市大內區,內江里,內江319-1號,120.354400,23.121900,臺南市大內區大內國中,全區,800,震災,李世昌,06-5761010,是,是,是
1257,臺南市大內區,石城里,石城114-66號,120.354388,23.122181,臺南市大內區石子瀨社區活動中心,大內里、內江里、內郭里、石湖里、石林里、石城里,20,"水災,震災",曾博楊,06-5761341,是,是,是
1258,臺南市大內區,二溪里,二溪198-1號,120.392600,23.122300,臺南市大內區二溪社區活動中心,二溪里,30,水災,楊春木,06-5763878,是,否,是
